aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_id,aw_image_url,store_price,delivery_cost,display_price,ean,isbn,upc,mpn,parent_product_id,product_GTIN
https://www.awin1.com/pclick.php?p=29805728811&a=87679&m=5923,"Ribble - Ultra TT Rear Brake Cover Bracket",29805728811,RIBBFRAZ530,,"Ultra TT Rear Brake Cover Bracket",,15.00,"Ribble Cycles",5923,0,https://images2.productserve.com/noimage.gif,,,GBP15.00,,,,,,
https://www.awin1.com/pclick.php?p=29805728919&a=87679&m=5923,"Ribble - Endurance 725 Disc - Black",29805728919,BB725CRD020,https://www.ribblecycles.co.uk/media/catalog/product/e/n/endurance725_disc_blk_cutout_side_on_x1000.png,"The Endurance 725 Disc strikes the perfect balance between comfort and performance. With the traditional style and compliance of a Reynolds steel frame in combination with cutting-edge design features, this is a modern steel road bike, destined for those long days in the saddle.",,1499.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fe%2Fn%2Fendurance725_disc_blk_cutout_side_on_x1000.png&feedId=5923&k=3f82138a7d44ce6003d8a5758f4ba11ab758c130,,,GBP1499.00,,,,,,
https://www.awin1.com/pclick.php?p=29805728959&a=87679&m=5923,"Ribble - Endurance 725 Disc - Pro",29805728959,BB725CRD023,https://www.ribblecycles.co.uk/media/catalog/product/e/n/endurance725_disc_blk_cutout_side_on_x1000_3.png,"The Endurance 725 Disc strikes the perfect balance between comfort and performance. It perfectly blends the compliance of a Reynolds steel frame with the precision wireless shifting of Shimanos latest Ultegra Di2 2x12 speed transmission.",,3799.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fe%2Fn%2Fendurance725_disc_blk_cutout_side_on_x1000_3.png&feedId=5923&k=36a1ac1e13af8925b16c2a8802a28277c004e68f,,,GBP3799.00,,,,,,
https://www.awin1.com/pclick.php?p=29805728965&a=87679&m=5923,"Ribble - Endurance 725 Disc",29805728965,BB725CRD030,https://www.ribblecycles.co.uk/media/catalog/product/e/n/endurance725_discgreen_cutout_side_on_x1000_2.png,"The Endurance 725 Disc strikes the perfect balance between comfort and performance. With the traditional style and compliance of a Reynolds steel frame, in combination with cutting-edge design features, this is a modern steel road bike, destined for those long days in the saddle.",,1499.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fe%2Fn%2Fendurance725_discgreen_cutout_side_on_x1000_2.png&feedId=5923&k=19b2f4b35eb1623f07927b5a36b51d24bffe9221,,,GBP1499.00,,,,,,
https://www.awin1.com/pclick.php?p=29805728971&a=87679&m=5923,"Ribble - Endurance 725 Disc - Pro",29805728971,BB725CRD033,https://www.ribblecycles.co.uk/media/catalog/product/e/n/endurance725_discgreen_cutout_side_on_x1000_3.png,"The Endurance 725 Disc is a steel road bike that strikes the perfect balance between comfort and performance. It perfectly blends the compliance of a Reynolds steel frame with the wireless shifting and disc brakes of Shimano Ultegra Di2 R8100.",,3799.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fe%2Fn%2Fendurance725_discgreen_cutout_side_on_x1000_3.png&feedId=5923&k=b18ec647f4304962317075bc5c76e191468d3fd9,,,GBP3799.00,,,,,,
https://www.awin1.com/pclick.php?p=29805728987&a=87679&m=5923,"Ribble - Ultra Tri Disc - Enthusiast",29805728987,BBULTRDB002,https://www.ribblecycles.co.uk/media/catalog/product/u/l/ultra-tri-disc-enthusiast-carbon-side-on_2.png,"The Ultra Tri Disc is an uncompromising, speed-centric platform that allows you to reach your full potential. Innovative and tech-loaded, its a speed machine that delivers superbike performance in pursuit of your fastest bike split.",,5299.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fu%2Fl%2Fultra-tri-disc-enthusiast-carbon-side-on_2.png&feedId=5923&k=86a22eb46cd2c53e38235b7fccc40988b9bd713a,,,GBP5299.00,,,,,,
https://www.awin1.com/pclick.php?p=29805728989&a=87679&m=5923,"Ribble - Ultra Tri Disc - Pro",29805728989,BBULTRDB005,https://www.ribblecycles.co.uk/media/catalog/product/u/l/ultra_tri_disc_pro_side_on_2.png,"The Ultra Tri Disc is an uncompromising, speed-centric platform that allows you to reach your full potential. Innovative and tech-loaded, its a speed machine that delivers a superbike performance in the pursuit of your fastest bike split.",,6199.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fu%2Fl%2Fultra_tri_disc_pro_side_on_2.png&feedId=5923&k=f161b6d74dd3e9c7297bf4a5c65fd59d604d8da1,,,GBP6199.00,,,,,,
https://www.awin1.com/pclick.php?p=29805728993&a=87679&m=5923,"Ribble - Ultra Tri Disc - Sport",29805728993,BBULTRDB004,https://www.ribblecycles.co.uk/media/catalog/product/u/l/ultra_tri_disc-sport-side_on_3.png,"The Ultra Tri Disc is an uncompromising, speed-centric platform that allows you to reach your full potential. Innovative and tech-loaded, its a speed machine that delivers a superbike performance in the pursuit of your fastest bike split.",,3499.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fu%2Fl%2Fultra_tri_disc-sport-side_on_3.png&feedId=5923&k=8a34dd3ecd91548a3cc8f73ab68e8f66d0bd08e5,,,GBP3499.00,,,,,,
https://www.awin1.com/pclick.php?p=29805729053&a=87679&m=5923,"Ribble - Endurance SL e - Hero",29805729053,BBENDCAN005,https://www.ribblecycles.co.uk/media/catalog/product/e/n/endurance_sl_e_hero_side_on.png,"The ultimate stealth e-road bike just got lighter and more efficient too, thanks to the world's fastest and most reliable wireless shifting!",,7299.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fe%2Fn%2Fendurance_sl_e_hero_side_on.png&feedId=5923&k=958ca00c6bb9bedcb96a3592da9f8706fa14a9b2,,,GBP7299.00,,,,,,
https://www.awin1.com/pclick.php?p=29805729145&a=87679&m=5923,"Ribble - Hybrid AL e Trail",29805729145,BBHYTALE001,https://www.ribblecycles.co.uk/media/catalog/product/h/y/hybrid_trail_al_e_side_on_1.png,"Ready for anything, the Hybrid AL e Trail is a practical and capable e-bike that's destined to explore. Designed to explore the city streets, rural pathways and beyond, the Hybrid Trail AL e gets you where you need to be with comfort, efficiency, and style.",,2599.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fh%2Fy%2Fhybrid_trail_al_e_side_on_1.png&feedId=5923&k=e9a56e4a38946917597b5cf889842d864e00002a,,,GBP2599.00,,,,,,
